Property ID,Postal Code,Locality,Property Type,Sale Type,Price (€),Surface of the plot (m²),Living Area (m²),Bedrooms,Bathrooms,Furnished,Kitchen Type,Building condition,number of Frontages,number of Floors,Floor,Construction Year,Primary Energy Consumption (kWh/m²),Energy class,Flood Zone Type,Garden Surface,Terrace Surface,Swimming Pool,Elevator,Basement,Public Sale,Price Label,URL
20260850,1150,Woluwe-Saint-Pierre,house,for-sale,575000575000,137.0,177.0,5.0,1.0,No,Not installed,To renovate,2.0,2.0,,1949.0,338.0,F,Non flood zone,60.0,30.0,No,No,Yes,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/20260850
20261211,2100,Antwerpen,apartment,for-sale,174900174900,,70.0,2.0,1.0,,Installed,To be done up,2.0,2.0,1.0,1963.0,114.0,B,Non flood zone,,3.0,,,Yes,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2100/20261211
20262067,3300,Tienen,apartment,for-sale,189000189000,,81.0,2.0,1.0,,,To renovate,4.0,10.0,1.0,1972.0,202.0,C,Non flood zone,,22.0,,Yes,Yes,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/tienen/3300/20262067
20260393,1030,Schaerbeek,house,for-sale,495000495000,100.0,120.0,3.0,2.0,No,Hyper equipped,As new,2.0,2.0,,1928.0,299.0,F,Non flood zone,12.0,34.0,No,No,Yes,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/schaerbeek/1030/20260393
20262780,2640,Mortsel,ground-floor,for-sale,225000225000,,55.0,1.0,1.0,,Installed,Good,2.0,2.0,,1956.0,316.0,D,Possible flood zone,106.0,30.0,,,,Not a public sale,,https://www.immoweb.be/en/classified/ground-floor/for-sale/mortsel/2640/20262780
20254967,9230,Wetteren,house,for-sale,740000740000,1481.0,252.0,4.0,2.0,,Semi equipped,To be done up,4.0,,,1978.0,278.0,C,Non flood zone,1292.0,40.0,,,Yes,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/wetteren/9230/20254967
20256995,2600,Berchem,apartment,for-sale,322500322500,,100.0,3.0,1.0,,Installed,Just renovated,2.0,5.0,2.0,1965.0,144.0,B,Non flood zone,,4.0,,Yes,Yes,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20256995
20259276,9400,Ninove,apartment,for-sale,299000299000,,153.0,3.0,2.0,,Installed,Good,2.0,,2.0,2006.0,92.0,A,Non flood zone,,6.0,,Yes,Yes,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/ninove/9400/20259276
20259522,2170,Antwerpen,ground-floor,for-sale,329900329900,,125.0,3.0,1.0,,Installed,Just renovated,2.0,7.0,,1975.0,248.0,C,Non flood zone,150.0,,,Yes,,Not a public sale,,https://www.immoweb.be/en/classified/ground-floor/for-sale/antwerpen/2170/20259522
20257881,2140,Borgerhout,apartment,for-sale,209000209000,,88.0,2.0,1.0,,Installed,Good,2.0,6.0,4.0,1965.0,177.0,B,Non flood zone,,8.0,,Yes,,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/borgerhout/2140/20257881
